Heure;Valeur
11:24;18143.9462
11:24;18145.588
11:24;18145.7704
11:24;18145.9528
11:24;18146.5001
11:24;18147.4122
11:24;18147.9595
11:24;18149.2364
11:24;18151.0606
11:24;18150.4827
11:24;18150.447
11:24;18147.6831
11:24;18147.3695
11:24;18147.4695
11:24;18147.5696
11:24;18147.8698
11:24;18148.8703
11:24;18149.3705
11:24;18149.9742
11:24;18151.0307
11:24;18155.2569
11:24;18157.575
11:24;18157.6588
11:24;18157.9724
11:24;18157.986
11:24;18158.6405
11:23;18162.2889
11:23;18161.0823
11:23;18161.5681
11:23;18161.0678
11:23;18159.0612
11:22;18159.0989
11:21;18128.3906
11:21;18125.7044
11:21;18124.0626
11:21;18125.3169
11:20;18125.3357
11:20;18124.0815
11:20;18087.4149
11:20;18086.8113
11:20;18087.7575
11:20;18087.7578
11:20;18087.7589
11:19;18087.7575
11:19;18087.9514
11:19;18088.0483
11:19;18092.7011
11:18;18093.6704
11:18;18093.724
11:18;18093.8578
11:18;18093.9649
11:18;18093.9917
11:18;18094.0185
11:18;18095.0092
11:18;18095.0359
11:18;18095.8124
11:18;18095.8751
11:18;18095.9378
11:18;18095.2638
11:18;18097.7995
11:18;18099.4413
11:18;18099.7431
11:18;18100.0449
11:18;18143.5864
11:18;18145.8781
11:18;18146.3364
11:18;18167.878
11:18;18169.0696
11:18;18168.9565
11:18;18169.0884
11:18;18167.8342
11:18;18168.3344
11:18;18168.8347
11:18;18168.9347
11:18;18169.0348
11:18;18170.8357
11:18;18165.4433
11:18;18165.5403
11:18;18165.6372
11:18;18166.0249
11:18;18166.2035
11:18;18166.7392
11:17;18167.0394
11:17;18165.3976
11:17;18165.4917
11:17;18165.962
11:17;18166.5892
11:17;18166.6519
11:17;18166.6832
11:17;18166.7146
11:16;18167.8435
11:16;18167.844
11:16;18167.8448
11:16;18167.8674
11:15;18167.4652
11:15;18173.5316
11:14;18167.4652
11:14;18165.8564
11:14;18165.8648
11:14;18165.5229
11:14;18166.197
11:13;18169.5672
11:13;18164.9163
11:13;18168.5647
11:13;18167.9611
11:13;18159.7111
11:12;18158.1734
11:12;18159.5154
11:11;18158.1734
11:11;18158.1545
11:11;18158.1885
11:11;18155.5361
11:10;18155.5134
11:10;18155.5287
11:10;18155.9309
11:10;18157.5397
11:09;18155.2385
11:09;18155.2366
11:09;18155.2385
11:09;18156.5192
11:09;18157.1932
11:09;18157.2606
11:09;18158.7435
11:09;18159.2154
11:09;18159.3014
11:09;18159.5596
11:09;18159.3014
11:09;18159.2969
11:09;18159.296
11:09;18159.2969
11:09;18158.4761
11:08;18158.8851
11:08;18158.3849
11:08;18158.3792
11:08;18158.219
11:08;18158.3899
11:08;18158.5609
11:07;18158.5505
11:07;18158.5317
11:07;18158.0314
11:07;18156.7829
11:07;18156.7734
11:07;18157.2737
11:07;18157.2643
11:07;18157.2454
11:07;18157.2341
11:07;18157.2322
11:07;18157.2304
11:06;18157.2285
11:06;18150.24
11:06;18149.8569
11:06;18146.7922
11:06;18139.1304
11:06;18138.3643
11:06;18124.5731
11:05;18125.1973
11:04;18123.1963
11:04;18123.1621
11:04;18123.1963
11:04;18123.8206
11:04;18123.6381
11:04;18123.3494
11:04;18123.205
11:04;18117.863
11:03;18112.0879
11:03;18112.762
11:03;18113.436
11:03;18113.7731
11:03;18115.4582
11:02;18115.3244
11:02;18118.0987
11:02;18116.7506
11:01;18116.2149
11:01;18116.2337
11:01;18116.3487
11:01;18116.349
11:01;18116.35
11:01;18116.3503
11:01;18116.3684
11:01;18116.186
11:00;18114.7266
11:00;18114.6952
10:59;18114.7266
10:58;18123.8932
10:58;18123.9105
10:58;18123.9123
10:57;18123.8932
10:57;18123.9606
10:56;18124.5673
10:56;18124.4229
10:54;18126.2416
10:54;18128.2427
10:53;18129.1032
10:53;18130.5626
10:53;18128.5615
10:53;18128.5383
10:52;18125.4653
10:52;18125.5327
10:51;18124.7912
10:51;18118.0071
10:51;18117.7559
10:50;18120.8289
10:50;18120.8297
10:50;18115.2481
10:49;18115.2484
10:49;18115.4308
10:48;18114.6678
10:48;18115.2949
10:48;18120.2494
10:48;18120.853
10:48;18120.8533
10:48;18120.8535
10:48;18120.8583
10:47;18120.8673
10:47;18120.3028
10:47;18115.2857
10:47;18115.2838
10:46;18114.2274
10:46;18114.8546
10:46;18116.736
10:46;18116.7987
10:46;18116.8614
10:46;18117.0496
10:46;18117.3632
10:46;18118.6174
10:46;18119.2446
10:46;18119.2427
10:46;18119.1409
10:46;18119.0155
10:45;18118.5138
10:45;18118.5119
10:45;18117.5871
10:44;18117.6449
10:44;18116.2441
10:44;18116.0328
10:44;18113.7084
10:43;18114.0875
10:43;18114.7297
10:41;18118.0129
10:40;18118.1953
10:40;18116.4393
10:40;18116.4925
10:40;18116.4662
10:40;18116.5336
10:40;18117.1403
10:40;18118.4884
10:40;18118.6232
10:40;18118.4408
10:40;18117.9824
10:39;18109.2741
10:39;18109.4565
10:39;18111.2807
10:39;18113.105
10:39;18114.0171
10:39;18114.7467
10:39;18114.9468
10:39;18116.0474
10:39;18115.4471
10:38;18114.9468
10:38;18114.972
10:38;18114.8186
10:37;18113.0291
10:37;18112.829
10:37;18112.7662
10:37;18112.5941
10:36;18112.636
10:36;18112.0336
10:36;18114.3541
10:36;18114.3959
10:36;18113.2671
10:36;18114.1395
10:36;18095.1823
10:35;18093.2559
10:35;18092.8537
10:35;18093.5656
10:34;18089.0428
10:34;18090.5058
10:34;18089.2515
10:33;18089.222
10:32;18087.9677
10:32;18087.8329
10:32;18086.4848
10:31;18087.1119
10:31;18086.4848
10:31;18086.3302
10:31;18086.7324
10:31;18086.7148
10:31;18086.6272
10:31;18086.452
10:31;18086.1015
10:31;18086.1032
10:30;18086.188
10:30;18085.5609
10:30;18084.3066
10:29;18086.8786
10:29;18086.0062
10:29;18085.4246
10:29;18085.4874
10:29;18085.6128
10:29;18085.7382
10:29;18085.7696
10:29;18085.8009
10:29;18085.8636
10:29;18086.6789
10:29;18084.1776
10:29;18085.5257
10:29;18084.8976
10:29;18083.2558
10:28;18083.229
10:28;18081.8809
10:28;18081.7904
10:27;18081.7075
10:27;18081.6074
10:27;18081.4818
10:26;18082.0462
10:26;18082.0598
10:25;18080.6174
10:25;18082.1003
10:25;18082.2345
10:25;18082.3687
10:25;18082.5029
10:25;18082.6371
10:25;18095.5199
10:25;18095.4229
10:25;18097.0647
10:25;18096.928
10:25;18096.8606
10:25;18096.921
10:25;18098.0075
10:25;18097.9761
10:25;18098.0075
10:24;18097.8194
10:24;18097.9023
10:24;18100.5036
10:24;18099.9
10:24;18099.4171
10:24;18096.6535
10:24;18098.0016
10:23;18095.9794
10:23;18096.1619
10:23;18095.9737
10:22;18096.1105
10:22;18096.2105
10:22;18096.2407
10:22;18096.3034
10:22;18096.3661
10:22;18098.0594
10:22;18096.8678
10:22;18096.4288
10:22;18096.3288
10:21;18093.3272
10:21;18091.503
10:21;18091.4403
10:20;18091.2617
10:20;18094.4634
10:20;18096.4855
10:20;18096.6737
10:20;18096.9873
10:20;18098.629
10:19;18097.5979
10:19;18097.7423
10:18;18097.3546
10:18;18093.7527
10:17;18093.7101
10:17;18093.7544
10:17;18091.7322
10:17;18091.8323
10:17;18091.7322
10:16;18092.8477
10:16;18085.3601
10:15;18086.4167
10:15;18085.7426
10:15;18085.925
10:15;18085.9295
10:15;18085.6739
10:15;18085.7001
10:14;18086.672
10:14;18087.346
10:14;18086.672
10:14;18086.4895
10:13;18086.672
10:13;18086.7394
10:13;18086.8068
10:13;18089.3682
10:13;18089.4682
10:13;18089.7684
10:13;18092.6699
10:13;18092.7699
10:13;18092.87
10:13;18094.1706
10:13;18094.6234
10:13;18095.3771
10:13;18096.5837
10:13;18095.5594
10:13;18095.528
10:12;18095.5594
10:12;18096.163
10:12;18098.0358
10:12;18097.7222
10:12;18096.5157
10:11;18093.9436
10:11;18094.1964
10:11;18094.5755
10:11;18094.7019
10:11;18095.9657
10:11;18096.4712
10:11;18096.5976
10:11;18097.7351
10:11;18102.7903
10:11;18101.2852
10:11;18101.1027
10:11;18101.2852
10:11;18099.263
10:10;18099.2856
10:10;18100.4053
10:10;18099.7312
10:09;18099.6685
10:09;18099.6999
10:09;18099.7312
10:09;18099.794
10:09;18100.2957
10:09;18101.55
10:09;18118.3846
10:09;18118.0739
10:09;18118.3846
10:09;18118.3777
10:09;18117.7028
10:09;18118.3777
10:08;18112.271
10:08;18112.3673
10:08;18113.4911
10:08;18113.5553
10:08;18108.0827
10:08;18107.9997
10:08;18114.1065
10:07;18119.5791
10:07;18118.8253
10:07;18118.825
10:07;18118.3248
10:06;18116.4434
10:06;18115.5429
10:06;18115.4428
10:06;18120.4982
10:06;18120.5609
10:06;18122.3169
10:05;18120.4982
10:05;18120.6923
10:05;18121.9466
10:04;18120.0652
10:04;18120.6688
10:04;18117.7673
10:04;18120.6688
10:04;18121.296
10:03;18122.5503
10:03;18123.4108
10:03;18121.5294
10:03;18122.3021
10:03;18122.3648
10:03;18122.6157
10:03;18122.9292
10:03;18124.1835
10:03;18124.0011
10:03;18124.043
10:03;18124.0513
10:03;18124.3361
10:02;18125.0061
10:02;18125.1885
10:02;18134.3552
10:02;18120.9356
10:02;18120.8387
10:02;18119.482
10:02;18114.4941
10:01;18111.0923
10:01;18111.0966
10:01;18111.0987
10:01;18111.1008
10:01;18111.1136
10:01;18114.5154
10:01;18112.9475
10:01;18111.1233
10:01;18112.9475
10:01;18112.6963
10:01;18101.892
10:01;18095.6104
10:01;18096.817
10:01;18096.5262
10:01;18096.4293
10:00;18096.817
10:00;18096.8162
09:59;18093.3144
09:59;18093.6907
09:59;18094.2551
09:59;18093.1985
09:59;18094.4792
09:59;18095.8273
09:59;18094.5466
09:59;18098.0484
09:59;18096.8419
09:59;18095.8413
09:59;18093.34
09:59;18093.5957
09:59;18093.5912
09:59;18093.5509
09:59;18093.1524
09:59;18092.97
09:58;18093.1524
09:58;18093.7796
09:58;18093.5283
09:58;18094.135
09:58;18094.1977
09:58;18094.7621
09:57;18094.135
09:57;18093.4609
09:57;18092.7725
09:57;18092.6004
09:57;18093.0026
09:57;18094.2092
09:57;18094.1231
